iter	RMSE
0	0.9985974912
1	0.9984423156
2	0.9982946647
3	0.9981501104
4	0.9980152202
5	0.9978812639
6	0.9977501138
7	0.9976253837
8	0.9975063863
9	0.9973959815
10	0.9972834947
11	0.9971729667
12	0.9970710361
13	0.9969740906
14	0.9968763796
15	0.9967730381
16	0.9966634726
17	0.9965578734
18	0.9964496324
19	0.9963469701
20	0.9962585379
21	0.9961727292
22	0.9960785251
23	0.9959950365
24	0.9959096327
25	0.995836889
26	0.9957594675
27	0.9956847712
28	0.9956070747
29	0.9955373038
30	0.9954689105
31	0.9953957395
32	0.9953248346
33	0.9952487889
34	0.9951801782
35	0.9951134725
36	0.9950490014
37	0.9949824185
38	0.9949163253
39	0.9948636978
40	0.9948126814
41	0.9947623211
42	0.9947069515
43	0.9946481859
44	0.9945794349
45	0.9945306112
46	0.9944770408
47	0.9944248843
48	0.9943586551
49	0.9943013518
50	0.9942458247
51	0.9941895365
52	0.9941400675
53	0.9940895083
54	0.9940422098
55	0.9939967549
56	0.9939417053
57	0.9938885647
58	0.9938302122
59	0.9937846817
60	0.9937374017
61	0.9936906799
62	0.9936421423
63	0.9935859188
64	0.9935373432
65	0.9934965813
66	0.9934584232
67	0.9934248812
68	0.9933733291
69	0.9933210487
70	0.9932769133
71	0.9932301039
72	0.993174055
73	0.9931268449
74	0.9930727368
75	0.9930283924
76	0.9929823302
77	0.9929413146
78	0.9928958753
79	0.9928394116
80	0.9927908654
81	0.9927400395
82	0.9926902012
83	0.9926526063
84	0.9926087052
85	0.9925614682
86	0.9925235713
87	0.9924774856
88	0.992429384
89	0.9923898642
90	0.9923545031
91	0.9923172917
92	0.9922699417
93	0.9922392654
94	0.9921926712
95	0.9921467353
96	0.9921035715
97	0.9920592498
98	0.9920204089
99	0.9919835483
100	0.9919452329
101	0.9918968742
102	0.9918680693
103	0.9918229112
104	0.9917942032
105	0.991751057
106	0.9917089002
107	0.9916704751
108	0.9916328415
109	0.9915998986
110	0.9915583962
111	0.991513918
112	0.9914712223
113	0.9914298467
114	0.9913913117
115	0.9913484454
116	0.9913086182
117	0.9912622447
118	0.991217621
119	0.9911895566
120	0.9911485328
121	0.991115673
122	0.991078944
123	0.9910373206
124	0.9909945713
125	0.9909690796
126	0.9909260298
127	0.9908847306
128	0.9908398584
129	0.9907992501
130	0.9907643614
131	0.9907300998
132	0.9906906776
133	0.9906577033
134	0.9906084218
135	0.9905704832
