iter	Passed	Remaining
0	136	136699
1	146	73094
2	155	51780
3	166	41447
4	176	35207
5	187	31000
6	197	27984
7	207	25713
8	217	23933
9	227	22512
10	237	21356
11	247	20395
12	257	19574
13	270	19054
14	280	18442
15	289	17825
16	298	17243
17	306	16709
18	314	16223
19	323	15860
20	332	15486
21	340	15137
22	348	14802
23	356	14489
24	363	14189
25	374	14023
26	384	13858
27	394	13702
28	404	13551
29	415	13424
30	425	13288
31	435	13168
32	445	13057
33	455	12949
34	465	12843
35	475	12745
36	486	12656
37	496	12568
38	506	12480
39	516	12390
40	526	12304
41	535	12204
42	545	12136
43	555	12076
44	566	12011
45	576	11947
46	586	11882
47	596	11821
48	606	11766
49	616	11713
50	626	11664
51	637	11613
52	646	11558
53	656	11503
54	666	11456
55	676	11404
56	686	11362
57	696	11318
58	707	11280
59	716	11230
60	725	11168
61	734	11111
62	744	11071
63	754	11039
64	765	11006
65	775	10967
66	784	10931
67	794	10893
68	803	10843
69	811	10783
70	819	10718
71	827	10661
72	835	10612
73	843	10553
74	851	10502
75	859	10451
76	867	10401
77	875	10352
78	883	10299
79	891	10247
80	898	10196
81	906	10146
82	916	10121
83	924	10078
84	933	10049
85	943	10028
86	953	10003
87	963	9981
88	974	9977
89	984	9949
90	991	9905
91	999	9866
92	1007	9823
93	1014	9776
94	1022	9740
95	1030	9704
96	1038	9668
97	1046	9628
98	1053	9586
99	1060	9545
100	1068	9508
101	1078	9492
102	1086	9465
103	1095	9441
104	1103	9408
105	1111	9376
106	1119	9343
107	1126	9303
108	1133	9265
109	1141	9232
110	1148	9200
111	1156	9170
112	1164	9142
113	1171	9108
114	1179	9077
115	1186	9045
116	1194	9011
117	1201	8980
118	1209	8952
119	1216	8918
120	1225	8901
121	1235	8891
122	1243	8864
123	1251	8837
124	1258	8808
125	1265	8778
126	1273	8755
127	1282	8734
128	1290	8714
129	1298	8690
130	1305	8663
131	1313	8640
132	1321	8617
133	1330	8595
134	1338	8575
135	1346	8552
